date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:04	23409/23409	---MCZ	200	added ('OK')	text/css	etag:W/%22600544e6-5b71%22	https://v1.bepatrickdavid.com/assets/css/bootstrap/bootstrap-theme.min.css	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/css/bootstrap/bootstrap-theme.min.css	(from https://v1.bepatrickdavid.com/)
10:46:04	48875/48875	---MCZ	200	added ('OK')	text/css	etag:W/%22600544ad-beeb%22	https://v1.bepatrickdavid.com/assets/css/style.css	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/css/style.css	(from https://v1.bepatrickdavid.com/)
10:46:04	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22600544ae-7918%22	https://v1.bepatrickdavid.com/assets/css/font-awesome.min.css	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/css/font-awesome.min.css	(from https://v1.bepatrickdavid.com/)
10:46:04	51284/51284	---MCZ	200	added ('OK')	text/css	etag:W/%22600544ad-c854%22	https://v1.bepatrickdavid.com/assets/css/ionicons.min.css	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/css/ionicons.min.css	(from https://v1.bepatrickdavid.com/)
10:46:05	100837/100837	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2028%20Sep%202021%2008:46:02%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/User/Desktop/w2/connect.facebook.net/en_US/fbevents.js	(from https://v1.bepatrickdavid.com/)
10:46:05	4613/4613	---M--	200	added ('OK')	image/png	etag:%22600544b2-1205%22	https://v1.bepatrickdavid.com/assets/img/logo_big.png	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/img/logo_big.png	(from https://v1.bepatrickdavid.com/)
10:46:05	9518/9518	---M--	200	added ('OK')	image/png	etag:%22600544b5-252e%22	https://v1.bepatrickdavid.com/assets/img/logo_big2x.png	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/img/logo_big2x.png	(from https://v1.bepatrickdavid.com/)
10:46:05	2639/2639	---M--	200	added ('OK')	image/png	etag:%22600544b9-a4f%22	https://v1.bepatrickdavid.com/assets/img/logo.png	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/img/logo.png	(from https://v1.bepatrickdavid.com/)
10:46:05	4869/4869	---M--	200	added ('OK')	image/png	etag:%22600544b0-1305%22	https://v1.bepatrickdavid.com/assets/img/logo2x.png	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/img/logo2x.png	(from https://v1.bepatrickdavid.com/)
10:46:06	18512/18512	---MCZ	200	added ('OK')	text/html	etag:W/%22600544aa-4850%22	https://v1.bepatrickdavid.com/web-designer.html	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/web-designer.html	(from https://v1.bepatrickdavid.com/)
10:46:06	53404/53404	---M--	200	added ('OK')	image/jpeg	etag:%22600544b9-d09c%22	https://v1.bepatrickdavid.com/assets/img/projects-750.jpg	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/img/projects-750.jpg	(from https://v1.bepatrickdavid.com/)
10:46:06	93682/93682	---M--	200	added ('OK')	image/jpeg	etag:%22600544b3-16df2%22	https://v1.bepatrickdavid.com/assets/img/toscano-750.jpg	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/img/toscano-750.jpg	(from https://v1.bepatrickdavid.com/)
10:46:07	42084/42084	---M--	200	added ('OK')	image/jpeg	etag:%22600544ce-a464%22	https://v1.bepatrickdavid.com/assets/img/look-750.jpg	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/img/look-750.jpg	(from https://v1.bepatrickdavid.com/)
10:46:07	110046/110046	---M--	200	added ('OK')	image/jpeg	etag:%22600544bc-1adde%22	https://v1.bepatrickdavid.com/assets/img/emmearredo-750.jpg	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/img/emmearredo-750.jpg	(from https://v1.bepatrickdavid.com/)
10:46:07	76751/76751	---M--	200	added ('OK')	image/jpeg	etag:%22600544c4-12bcf%22	https://v1.bepatrickdavid.com/assets/img/oleomec-750.jpg	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/img/oleomec-750.jpg	(from https://v1.bepatrickdavid.com/)
10:46:07	84345/84345	---MCZ	200	added ('OK')	application/javascript	etag:W/%22600544af-14979%22	https://v1.bepatrickdavid.com/assets/js/jquery.min.js	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/js/jquery.min.js	(from https://v1.bepatrickdavid.com/)
10:46:07	36868/36868	---MCZ	200	added ('OK')	application/javascript	etag:W/%22600544e8-9004%22	https://v1.bepatrickdavid.com/assets/js/bootstrap/bootstrap.min.js	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/js/bootstrap/bootstrap.min.js	(from https://v1.bepatrickdavid.com/)
10:46:08	41820/41820	---MCZ	200	added ('OK')	application/javascript	etag:W/%22600544af-a35c%22	https://v1.bepatrickdavid.com/assets/js/library.js	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/js/library.js	(from https://v1.bepatrickdavid.com/)
10:46:08	3379/3379	---MCZ	200	added ('OK')	application/javascript	etag:W/%22600544af-d33%22	https://v1.bepatrickdavid.com/assets/js/main.js	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/js/main.js	(from https://v1.bepatrickdavid.com/)
10:46:09	49529/49529	---MC-	200	added ('OK')	text/javascript	date:Wed,%2011%20Aug%202021%2000:32:57%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/User/Desktop/w2/www.google-analytics.com/analytics.js	(from https://v1.bepatrickdavid.com/)
10:46:09	1028/1028	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22404-5b8c680fa2946%22	https://v1.bepatrickdavid.com/assets/css/fonts/glyphicons-halflings-regular.eot	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/css/fonts/glyphicons-halflings-regular.eot	(from https://v1.bepatrickdavid.com/assets/css/bootstrap/bootstrap.min.css)
10:46:09	1028/1028	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22404-5b8c680fa2946%22	https://v1.bepatrickdavid.com/assets/css/fonts/glyphicons-halflings-regular.eot?	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/css/fonts/glyphicons-halflings-regulard41d.eot	(from https://v1.bepatrickdavid.com/assets/css/bootstrap/bootstrap.min.css)
10:46:09	1028/1028	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22404-5b8c680fa2946%22	https://v1.bepatrickdavid.com/assets/css/fonts/glyphicons-halflings-regular.woff2	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/css/fonts/glyphicons-halflings-regular.woff2	(from https://v1.bepatrickdavid.com/assets/css/bootstrap/bootstrap.min.css)
10:46:09	1028/1028	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22404-5b8c680fa2946%22	https://v1.bepatrickdavid.com/assets/css/fonts/glyphicons-halflings-regular.woff	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/css/fonts/glyphicons-halflings-regular.woff	(from https://v1.bepatrickdavid.com/assets/css/bootstrap/bootstrap.min.css)
10:46:09	1028/1028	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22404-5b8c680fa2946%22	https://v1.bepatrickdavid.com/assets/css/fonts/glyphicons-halflings-regular.ttf	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/css/fonts/glyphicons-halflings-regular.ttf	(from https://v1.bepatrickdavid.com/assets/css/bootstrap/bootstrap.min.css)
10:46:10	1028/1028	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22404-5b8c680fa2946%22	https://v1.bepatrickdavid.com/assets/css/fonts/glyphicons-halflings-regular.svg	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/css/fonts/glyphicons-halflings-regular.svg	(from https://v1.bepatrickdavid.com/assets/css/bootstrap/bootstrap.min.css)
10:46:10	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22600544e5-2876e%22	https://v1.bepatrickdavid.com/assets/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/fonts/fontawesome-webfont3e6e.eot	(from https://v1.bepatrickdavid.com/assets/css/font-awesome.min.css)
10:46:11	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22600544e5-2876e%22	https://v1.bepatrickdavid.com/assets/fonts/fontawesome-webfont.eot?	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/fonts/fontawesome-webfontd41d.eot	(from https://v1.bepatrickdavid.com/assets/css/font-awesome.min.css)
10:46:11	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%22600544dc-12d68%22	https://v1.bepatrickdavid.com/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://v1.bepatrickdavid.com/assets/css/font-awesome.min.css)
10:46:11	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%22600544e3-17ee8%22	https://v1.bepatrickdavid.com/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/fonts/fontawesome-webfont3e6e.woff	(from https://v1.bepatrickdavid.com/assets/css/font-awesome.min.css)
10:46:11	165548/165548	---M--	200	added ('OK')	application/font-sfnt	etag:%22600544de-286ac%22	https://v1.bepatrickdavid.com/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://v1.bepatrickdavid.com/assets/css/font-awesome.min.css)
10:46:12	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22600544d4-6c7db%22	https://v1.bepatrickdavid.com/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/fonts/fontawesome-webfont3e6e.svg	(from https://v1.bepatrickdavid.com/assets/css/font-awesome.min.css)
10:46:12	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22600544d7-1d794%22	https://v1.bepatrickdavid.com/assets/fonts/ionicons.eot?v=2.0.0	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/fonts/ionicons28b5.eot	(from https://v1.bepatrickdavid.com/assets/css/ionicons.min.css)
10:46:12	188508/188508	---M--	200	added ('OK')	application/font-sfnt	etag:%22600544db-2e05c%22	https://v1.bepatrickdavid.com/assets/fonts/ionicons.ttf?v=2.0.0	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/fonts/ionicons28b5.ttf	(from https://v1.bepatrickdavid.com/assets/css/ionicons.min.css)
10:46:12	67904/67904	---M--	200	added ('OK')	application/font-woff	etag:%22600544d8-10940%22	https://v1.bepatrickdavid.com/assets/fonts/ionicons.woff?v=2.0.0	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/fonts/ionicons28b5.woff	(from https://v1.bepatrickdavid.com/assets/css/ionicons.min.css)
10:46:13	333834/333834	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22600544e2-5180a%22	https://v1.bepatrickdavid.com/assets/fonts/ionicons.svg?v=2.0.0	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/fonts/ionicons28b5.svg	(from https://v1.bepatrickdavid.com/assets/css/ionicons.min.css)
10:46:13	1028/1028	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22404-5b8c680fa2946%22	https://v1.bepatrickdavid.com/c	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/c	(from https://connect.facebook.net/en_US/fbevents.js)
10:46:13	1028/1028	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22404-5b8c680fa2946%22	https://v1.bepatrickdavid.com/b	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/b	(from https://connect.facebook.net/en_US/fbevents.js)
10:46:13	1028/1028	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22404-5b8c680fa2946%22	https://v1.bepatrickdavid.com/POST	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/POST	(from https://connect.facebook.net/en_US/fbevents.js)
